"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.11.2022","14,670","14,430","14,690","14,430","3,63M","1,49%"
"24.11.2022","14,455","14,320","14,490","14,210","2,69M","1,12%"
"23.11.2022","14,295","14,370","14,640","14,210","4,81M","-0,17%"
"22.11.2022","14,320","13,780","14,330","13,775","7,22M","6,83%"
"21.11.2022","13,405","13,735","13,930","13,340","4,88M","-2,83%"
"18.11.2022","13,795","13,895","14,130","13,605","4,47M","-0,25%"
"17.11.2022","13,830","14,000","14,095","13,790","3,56M","-1,91%"
"16.11.2022","14,100","14,050","14,295","14,040","3,57M","0,46%"
"15.11.2022","14,035","13,805","14,050","13,805","4,06M","1,37%"
"14.11.2022","13,845","13,680","13,900","13,635","3,34M","0,62%"
"11.11.2022","13,760","13,665","13,890","13,550","4,19M","0,81%"
"10.11.2022","13,650","13,835","14,045","13,575","4,55M","-2,08%"
"09.11.2022","13,940","14,130","14,180","13,860","4,51M","-1,10%"
"08.11.2022","14,095","14,190","14,240","14,070","4,22M","-1,43%"
"07.11.2022","14,300","14,230","14,420","14,185","7,53M","0,03%"
"04.11.2022","14,295","14,120","14,470","14,020","5,42M","1,85%"
"03.11.2022","14,035","13,770","14,095","13,675","3,59M","1,45%"
"02.11.2022","13,835","14,060","14,125","13,740","3,76M","-1,28%"
"01.11.2022","14,015","13,900","14,120","13,820","3,50M","1,96%"
"31.10.2022","13,745","13,735","13,895","13,495","5,38M","-0,25%"
"28.10.2022","13,780","13,625","13,965","13,560","7,49M","-0,43%"
"27.10.2022","13,840","13,290","13,885","13,250","11,33M","4,97%"
"26.10.2022","13,185","13,075","13,205","12,965","4,61M","0,69%"
"25.10.2022","13,095","13,340","13,375","13,075","6,67M","-1,54%"
"24.10.2022","13,300","13,155","13,415","12,970","3,96M","0,61%"
"21.10.2022","13,220","13,150","13,230","12,960","4,48M","0,30%"
"20.10.2022","13,180","12,950","13,395","12,900","4,44M","1,93%"
"19.10.2022","12,930","12,770","12,930","12,675","3,39M","2,21%"
"18.10.2022","12,650","12,800","12,890","12,620","3,73M","-0,75%"
"17.10.2022","12,745","12,510","12,995","12,510","5,59M","1,88%"
"14.10.2022","12,510","12,795","12,995","12,495","5,20M","-1,22%"
"13.10.2022","12,665","12,095","12,740","12,095","4,15M","4,50%"
"12.10.2022","12,120","12,275","12,465","12,025","4,33M","-0,45%"
"11.10.2022","12,175","12,300","12,350","11,925","5,71M","-2,21%"
"10.10.2022","12,450","12,550","12,745","12,400","3,52M","-1,89%"
"07.10.2022","12,690","12,720","12,740","12,450","3,65M","0,91%"
"06.10.2022","12,575","12,630","12,890","12,420","4,75M","-1,22%"
"05.10.2022","12,730","12,380","12,800","12,195","5,22M","2,58%"
"04.10.2022","12,410","12,320","12,630","12,205","6,62M","1,68%"
"03.10.2022","12,205","11,840","12,250","11,835","4,66M","3,39%"
"30.09.2022","11,805","11,835","11,995","11,680","4,07M","0,60%"
"29.09.2022","11,735","11,860","11,865","11,465","4,95M","-0,55%"
"28.09.2022","11,800","11,465","11,905","11,330","5,63M","1,72%"
"27.09.2022","11,600","11,330","11,705","11,320","5,21M","2,38%"
"26.09.2022","11,330","11,085","11,470","11,050","5,75M","-0,26%"
"23.09.2022","11,360","11,875","11,920","11,185","7,00M","-5,33%"
"22.09.2022","12,000","11,805","12,155","11,765","4,34M","1,01%"
"21.09.2022","11,880","12,045","12,370","11,850","7,81M","-0,59%"
"20.09.2022","11,950","12,115","12,195","11,900","4,28M","-1,12%"
"19.09.2022","12,085","11,860","12,155","11,705","4,63M","1,05%"
"16.09.2022","11,960","12,300","12,385","11,885","10,61M","-3,00%"
"15.09.2022","12,330","12,880","12,930","12,245","9,20M","-4,05%"
"14.09.2022","12,850","12,800","13,035","12,710","5,50M","-0,39%"
"13.09.2022","12,900","13,235","13,250","12,785","6,02M","-1,90%"
"12.09.2022","13,150","13,110","13,445","13,085","11,62M","0,31%"
"09.09.2022","13,110","12,850","13,170","12,835","3,27M","2,22%"
"08.09.2022","12,825","13,035","13,115","12,780","4,26M","-0,81%"
"07.09.2022","12,930","13,550","13,665","12,930","7,81M","-4,04%"
"06.09.2022","13,475","13,830","13,840","13,440","4,31M","-1,53%"
"05.09.2022","13,685","13,340","13,765","13,340","4,90M","2,28%"
"02.09.2022","13,380","12,995","13,440","12,900","4,96M","3,84%"
"01.09.2022","12,885","12,865","13,005","12,785","3,80M","-0,77%"
"31.08.2022","12,985","13,195","13,220","12,660","11,07M","-1,59%"
"30.08.2022","13,195","13,700","13,815","13,165","4,70M","-3,19%"
"29.08.2022","13,630","13,430","13,650","13,225","2,85M","1,49%"
"26.08.2022","13,430","13,415","13,545","13,390","3,72M","0,19%"
"25.08.2022","13,405","13,455","13,610","13,405","3,38M","1,13%"
"24.08.2022","13,255","13,600","13,690","13,230","4,30M","-3,18%"
"23.08.2022","13,690","13,220","13,730","13,220","5,47M","3,63%"
"22.08.2022","13,210","12,920","13,285","12,835","4,11M","1,03%"
"19.08.2022","13,075","13,000","13,180","12,915","4,75M","0,62%"
"18.08.2022","12,995","12,700","13,040","12,680","4,77M","2,65%"
"17.08.2022","12,660","12,525","12,680","12,425","3,52M","0,36%"
"16.08.2022","12,615","12,430","12,780","12,405","5,63M","2,15%"
"15.08.2022","12,350","12,725","12,735","12,205","4,00M","-2,37%"
"12.08.2022","12,650","12,575","12,900","12,570","4,78M","0,96%"
"11.08.2022","12,530","12,350","12,585","12,345","4,52M","2,16%"
"10.08.2022","12,265","12,350","12,480","12,180","6,93M","-1,29%"
"09.08.2022","12,425","12,040","12,480","11,950","5,23M","3,54%"
"08.08.2022","12,000","11,905","12,115","11,825","11,93M","1,39%"
"05.08.2022","11,835","11,780","11,895","11,535","5,02M","0,42%"
"04.08.2022","11,785","11,885","12,135","11,775","4,51M","-1,17%"
"03.08.2022","11,925","11,850","12,150","11,760","4,28M","0,42%"
"02.08.2022","11,875","11,820","12,000","11,760","4,32M","0,21%"
"01.08.2022","11,850","12,100","12,200","11,820","4,63M","-2,27%"
"29.07.2022","12,125","12,100","12,235","11,990","7,36M","1,76%"
"28.07.2022","11,915","12,600","12,600","11,650","9,92M","-4,87%"
"27.07.2022","12,525","12,385","12,620","12,340","9,07M","1,29%"
"26.07.2022","12,365","12,395","12,530","12,295","4,12M","1,02%"
"25.07.2022","12,240","11,945","12,240","11,810","2,92M","1,75%"
"22.07.2022","12,030","11,900","12,070","11,740","4,65M","2,12%"
"21.07.2022","11,780","12,105","12,140","11,645","6,65M","-2,56%"
"20.07.2022","12,090","12,265","12,265","11,985","2,46M","-0,17%"
"19.07.2022","12,110","12,000","12,120","11,915","5,73M","0,41%"
"18.07.2022","12,060","12,005","12,285","11,945","3,85M","1,47%"
"15.07.2022","11,885","11,955","12,030","11,735","5,68M","0,72%"
"14.07.2022","11,800","12,130","12,210","11,625","12,45M","-2,96%"
"13.07.2022","12,160","12,075","12,290","11,845","22,61M","-0,08%"
"12.07.2022","12,170","12,880","12,990","12,085","24,39M","-5,73%"
