"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.11.2022","3,6530","3,6500","3,6710","3,6350","9,08M","0,22%"
"24.11.2022","3,6450","3,5860","3,6600","3,5780","10,30M","1,59%"
"23.11.2022","3,5880","3,6140","3,6210","3,5770","10,96M","-0,47%"
"22.11.2022","3,6050","3,5800","3,6240","3,5740","11,15M","0,36%"
"21.11.2022","3,5920","3,5350","3,6000","3,5350","9,17M","1,44%"
"18.11.2022","3,5410","3,5250","3,5440","3,5060","10,79M","1,26%"
"17.11.2022","3,4970","3,4910","3,5060","3,4560","9,17M","0,29%"
"16.11.2022","3,4870","3,5390","3,5430","3,4630","15,51M","-1,64%"
"15.11.2022","3,5450","3,6050","3,6220","3,5260","16,49M","-1,83%"
"14.11.2022","3,6110","3,6000","3,6500","3,5930","9,99M","0,78%"
"11.11.2022","3,5830","3,6200","3,6260","3,5510","13,07M","-1,13%"
"10.11.2022","3,6240","3,6140","3,6800","3,5960","15,63M","0,36%"
"09.11.2022","3,6110","3,6200","3,6210","3,5810","9,60M","-0,19%"
"08.11.2022","3,6180","3,5900","3,6550","3,5800","11,06M","1,17%"
"07.11.2022","3,5760","3,6390","3,6400","3,5530","14,85M","-1,41%"
"04.11.2022","3,6270","3,5000","3,6360","3,4350","48,52M","3,39%"
"03.11.2022","3,5080","3,5300","3,5390","3,4850","10,56M","-0,88%"
"02.11.2022","3,5390","3,5130","3,5470","3,4810","10,59M","0,97%"
"01.11.2022","3,5050","3,5090","3,5560","3,4900","11,73M","0,57%"
"31.10.2022","3,4850","3,4200","3,4850","3,3900","12,35M","2,11%"
"28.10.2022","3,4130","3,3000","3,4130","3,2950","11,81M","3,27%"
"27.10.2022","3,3050","3,3220","3,3340","3,2920","20,06M","-0,27%"
"26.10.2022","3,3140","3,3100","3,3430","3,2710","13,80M","1,94%"
"25.10.2022","3,2510","3,2930","3,3010","3,2410","11,20M","-0,79%"
"24.10.2022","3,2770","3,2660","3,3150","3,2510","10,95M","0,86%"
"21.10.2022","3,2490","3,3190","3,3200","3,2490","16,35M","-2,40%"
"20.10.2022","3,3290","3,3980","3,4300","3,2970","18,81M","-1,97%"
"19.10.2022","3,3960","3,3820","3,4230","3,3600","10,46M","0,53%"
"18.10.2022","3,3780","3,3570","3,3890","3,3470","8,17M","1,11%"
"17.10.2022","3,3410","3,3180","3,3710","3,3130","10,07M","0,88%"
"14.10.2022","3,3120","3,3250","3,3550","3,2840","10,24M","0,76%"
"13.10.2022","3,2870","3,2740","3,3300","3,2400","11,72M","-0,24%"
"12.10.2022","3,2950","3,3290","3,3310","3,2780","9,62M","-1,26%"
"11.10.2022","3,3370","3,3460","3,3590","3,3050","8,10M","-0,60%"
